63
5;5;12;16;28
101;4;0;1;80
102;4;0;1;80
103;4;0;1;80
104;4;0;1;80
105;4;0;1;80
106;4;0;2;140
107;4;0;2;140
108;4;0;2;140
201;1;0;1;90
202;1;0;1;90
203;1;0;1;90
204;1;0;1;90
205;1;0;1;90
206;1;0;1;90
207;1;0;1;90
208;1;0;1;90
209;1;0;1;90
210;1;0;1;90
211;1;0;1;90
212;1;0;1;90
213;1;0;1;90
214;1;0;2;130
215;1;0;2;130
216;1;0;2;130
217;1;0;2;130
218;1;0;2;130
219;1;0;2;130
220;1;0;2;130
221;1;0;2;130
301;1;0;3;160
302;1;0;3;160
303;1;0;3;160
304;1;0;3;160
305;1;0;3;160
306;1;0;4;190
307;1;0;4;190
401;2;0;3;300
402;2;0;3;300
403;2;0;3;300
404;2;0;3;300
405;2;0;3;300
406;2;0;3;300
407;2;0;4;500
408;2;0;4;500
409;2;0;4;500
410;2;0;4;500
501;3;1;2;1000
502;3;1;2;1000
503;3;1;2;1000
504;3;1;3;1300
505;3;1;3;1300
506;3;1;3;1300
507;3;2;1;900
508;3;2;1;900
509;3;2;1;900
510;3;2;1;900
511;3;2;2;1100
512;3;2;2;1100
601;3;3;1;1500
602;3;3;1;1500
603;3;3;2;1900
604;3;3;2;1900
605;3;3;3;2300
